,Task,Owner,Deadline,Status,Track,Comment,Est hrs,Actual hrs,Learnings
Day 1 — Skeleton & Home,Set up Figma file with 390x844 phone canvas and seed design tokens (Wise-inspired forest green / lime palette),Rina,May 29,done,Core,Token-first approach to speed later iteration,1,1,Naming tokens by role (app-blue / app-surface) beats naming by hex
May 29 (Fri),Prototype bottom navigation (Home / Subs / Stats / Insights / Profile) shared across all screens,Rina,May 29,done,Core,(H4) Consistency & standards — same nav anchors orientation,0.5,0.5,Persistent nav reduces 'where am I' moments in tests
,Prototype Home screen with 4-card KPI grid above the fold (Monthly / Active / Rarely used / Renewals),Rina,May 29,done,Core,(H1) Summary metrics visible immediately on load,2,2,KPIs above the fold answer 'should I worry?' in <1s
,Design SubscriptionCard component (emoji + name + category + amount + usage tag + next renewal),Rina,May 29,done,Core,(H6) Usage tag (Heavy/Moderate/Rare) removes need to recall which services are active,1,1.5,Usage tag was the surprise win — reframes whole list
,Design contextual renewal alert row — service + days-to-renewal + last-used + Review CTA in one line,Rina,May 29,done,Core,(H1) Replaces vague notification with specific actionable info,1,1,One-line alert > multi-step notification card
,Build Subscriptions list skeleton with search bar and grouped categories,Rina,May 29,done,Core,Lays foundation for sort/filter layers added on Day 3,1.5,1.5,
,Define sort control affordance on Subscriptions list,Rina,May 29,done,Core,(H7) Flexibility — power-user shortcut without cluttering default view,0.5,0.5,
,Mirror prototype in React (Figma Make export) so user testing can hit real interactions,Rina,May 29,done,Core,Prototype-as-code lets test sessions feel like the real product,1,1.5,React-from-Figma cuts wireframe-to-tap-target gap in half
,,,,,,,,,
Day 2 — Add & Connect Account flow + Sev 4 fixes,Design Add screen with Manual / Screenshot tabs,Rina,May 30,done,Core,Two paths covers manual entry and OCR receipt parsing,1.5,1.5,
May 30 (Sat),Design Connect Account screen with providers grouped by type (Email / Bank / Card / Wallet),Rina,May 30,done,Core,Grouping reduces visual noise vs alphabetical,1,1,Type-grouping over alphabetical — easier to scan
